Prueba,Eje x,Eje y,Eje z
433,-67.02,28.99,-91.61
434,-67.26,30.4,-98.45
435,-61.77,32.04,-102.66
436,-52.73,31.07,-105.53
437,-44.37,29.72,-107.12
438,-37.66,28.02,-106.57
439,-31.68,24.96,-108.34
440,-35.89,23.44,-114.56
441,-38.39,21.18,-125.31
442,-28.93,16.85,-137.33
443,-16.97,13.55,-147.77
444,-11.35,14.04,-154.6
445,-13.06,16.3,-157.53
446,-18.49,19.47,-155.82
447,-29.3,21.24,-150.09
448,-42.72,22.22,-143.31
449,-51.33,21.91,-138.85
450,-50.54,18.19,-140.69
451,-40.83,14.1,-144.65
452,-35.4,13.85,-146.97
453,-39.12,17.21,-145.26
454,-53.22,24.78,-137.57
455,-58.11,26.67,-134.83
456,-54.93,23.07,-131.47
457,-61.65,21.61,-122.31
458,-80.14,23.5,-108.89
459,-97.41,22.34,-94.42
460,-100.22,13.24,-90.82
461,-85.08,-0.55,-101.01
462,-64.21,-12.08,-114.01
463,-50.05,-16.97,-120.73
464,-42.91,-18.19,-125.12
465,-37.84,-16.91,-128.6
466,-30.33,-12.7,-128.36
467,-32.17,-5.19,-124.27
468,-46.75,4.88,-116.58
469,-58.29,11.41,-109.01
470,-62.01,11.41,-105.04
471,-59.14,8.85,-106.32
472,-38.7,4.39,-113.53
473,-5.49,-0.61,-121.83
474,16.6,-1.65,-125.61
475,12.63,0.24,-124.08
476,-6.65,2.69,-118.53
477,-21.55,3.72,-113.04
478,-31.37,4.82,-109.19
479,-34.06,8.0,-104.37
480,-38.76,12.94,-96.8
481,-57.68,17.15,-90.09
482,-81.42,18.92,-87.16
483,-89.66,17.03,-88.44
484,-83.74,13.43,-91.61
485,-65.98,10.8,-93.87
486,-43.82,9.95,-92.83
487,-31.13,12.08,-86.61
488,-33.87,12.94,-80.51
489,-45.84,10.74,-79.41
490,-48.65,9.46,-76.05
491,-49.26,7.14,-71.59
492,-58.17,-0.06,-70.8
493,-67.32,-7.14,-70.86
494,-65.98,-11.23,-71.72
495,-61.1,-14.16,-75.01
496,-64.82,-15.69,-75.74
497,-76.05,-15.38,-73.73
498,-78.74,-16.36,-74.28
499,-70.86,-16.17,-76.72
500,-64.15,-14.28,-77.39
501,-49.99,-11.29,-78.67
502,-33.81,-10.68,-80.26
503,-30.03,-10.19,-81.24
504,-33.94,-10.38,-82.76
505,-33.39,-12.15,-85.75
506,-28.14,-13.85,-87.52
507,-21.36,-15.2,-88.2
508,-21.12,-16.17,-85.63
509,-26.86,-17.76,-81.54
510,-27.77,-20.08,-80.38
511,-26.79,-19.17,-74.65
512,-28.44,-18.31,-68.24
513,-24.9,-17.76,-66.59
514,-18.19,-15.75,-66.71
515,-14.83,-13.43,-64.45
516,-13.18,-11.54,-57.92
517,-4.64,-10.38,-50.48
518,9.95,-8.79,-43.03
519,16.6,-5.49,-34.48
520,12.7,-1.65,-26.12
521,7.32,0.92,-19.53
522,7.93,2.87,-16.05
523,13.98,6.71,-13.92
524,18.92,11.84,-11.78
525,19.47,16.42,-8.3
526,14.71,18.68,-4.58
527,4.52,18.01,3.17
528,-2.44,15.56,12.63
529,-6.1,14.65,24.48
530,-3.23,16.97,35.89
531,20.14,19.23,40.95
532,46.14,22.03,42.66
533,50.05,24.84,45.59
534,39.06,25.45,51.7
535,24.9,25.09,61.65
536,16.24,24.35,73.36
537,13.49,22.89,82.58
538,15.69,19.29,87.22
539,22.16,16.05,89.05
