Prueba,Eje x,Eje y,Eje z
657,-77.21,20.2,-97.41
658,-86.12,12.15,-109.13
659,-90.33,1.89,-117.8
660,-83.44,-10.13,-123.17
661,-74.77,-22.71,-125.12
662,-68.3,-30.7,-123.6
663,-65.8,-29.79,-117.86
664,-69.46,-20.69,-108.46
665,-73.24,-9.7,-99.12
666,-67.63,-2.99,-96.13
667,-58.53,0.55,-100.1
668,-53.28,2.93,-108.4
669,-52.67,3.48,-117.8
670,-58.96,1.83,-126.16
671,-66.77,-4.03,-133.06
672,-62.93,-11.54,-137.76
673,-47.24,-15.93,-138.79
674,-36.74,-13.18,-131.84
675,-36.93,-5.55,-118.16
676,-44.37,7.51,-103.15
677,-48.71,21.97,-95.58
678,-47.42,31.68,-93.63
679,-40.71,30.33,-100.83
680,-31.8,24.66,-109.8
681,-22.52,19.29,-114.62
682,-20.57,13.73,-116.15
683,-28.44,10.99,-112.12
684,-43.27,10.25,-105.04
685,-60.24,9.52,-97.29
686,-58.41,9.58,-94.6
687,-39.92,14.34,-97.78
688,-17.82,24.17,-103.7
689,-12.94,37.96,-103.39
690,-16.17,47.85,-99.43
691,-28.93,52.73,-91.92
692,-37.11,53.59,-87.34
693,-38.64,48.83,-87.77
694,-30.64,43.52,-92.59
695,-19.1,38.33,-99.37
696,-11.17,32.84,-105.29
697,-10.62,27.59,-108.34
698,-19.41,23.13,-107.12
699,-33.51,20.08,-102.05
700,-44.43,20.08,-96.8
701,-43.4,21.0,-93.81
702,-32.53,21.85,-91.74
703,-21.0,24.35,-90.88
704,-9.95,29.6,-90.52
705,4.09,35.71,-91.43
706,22.77,41.5,-93.75
707,35.77,47.61,-95.03
708,36.8,50.72,-93.2
709,31.07,49.56,-89.11
710,27.4,45.59,-84.47
711,25.09,41.44,-80.08
712,12.51,38.39,-75.87
713,-6.16,36.13,-71.23
714,-16.11,32.65,-67.26
715,-14.89,27.1,-65.49
716,-3.72,21.61,-65.12
717,15.14,16.36,-65.06
718,31.62,13.12,-64.64
719,43.82,13.12,-62.56
720,48.65,15.26,-57.92
721,52.55,17.09,-54.14
722,58.23,18.37,-51.57
723,61.16,19.47,-49.93
724,53.22,20.45,-47.42
725,37.84,21.61,-43.88
726,23.44,23.07,-39.67
727,4.21,24.84,-33.02
728,-19.04,27.28,-24.48
729,-30.64,27.34,-18.07
730,-25.15,23.01,-15.99
731,-8.73,15.5,-16.48
732,10.62,7.08,-18.19
733,34.06,-0.18,-20.14
734,55.66,-5.07,-19.9
735,68.85,-6.96,-17.82
736,77.7,-8.3,-15.08
737,83.01,-9.34,-11.17
738,84.66,-10.44,-6.96
739,84.84,-10.8,-3.85
740,79.35,-10.01,-0.12
741,70.74,-8.24,4.88
742,64.15,-6.16,11.35
743,60.42,-5.07,18.43
744,58.72,-5.37,24.78
745,60.91,-7.08,29.72
746,67.93,-10.56,34.06
747,73.18,-14.53,38.94
748,74.58,-17.58,45.17
749,68.97,-17.76,50.78
750,64.7,-18.86,54.02
751,66.35,-18.31,56.95
752,65.86,-14.89,60.61
753,66.16,-12.82,63.11
754,71.41,-14.22,62.38
755,75.07,-16.72,59.69
756,78.31,-19.78,57.8
757,77.33,-22.71,56.58
758,73.36,-25.63,55.05
759,66.47,-27.04,53.71
760,54.26,-26.49,53.71
761,42.85,-26.37,53.47
762,40.47,-26.49,52.19
763,40.59,-26.0,52.12
764,37.05,-25.27,54.57
765,34.42,-26.61,57.31
766,34.12,-28.56,60.42
767,32.17,-28.93,63.42
768,30.76,-29.48,63.29
769,36.19,-31.43,60.91
770,42.48,-34.73,56.82
771,45.78,-39.73,54.08
772,47.42,-44.8,52.55
773,50.6,-47.67,52.06
774,55.3,-49.26,51.15
775,56.76,-48.95,51.09
776,55.54,-46.08,52.12
777,56.15,-42.72,53.04
778,57.86,-41.08,53.83
779,63.29,-39.55,54.26
780,68.05,-38.94,53.71
781,70.19,-39.67,52.06
782,73.06,-41.63,50.54
783,73.3,-44.56,50.72
784,70.5,-47.73,51.88
785,66.47,-50.17,52.92
786,60.24,-50.54,54.99
787,48.58,-48.22,58.9
788,34.36,-44.25,63.72
789,26.0,-40.89,68.6
790,23.5,-39.12,72.33
791,25.15,-38.7,75.13
792,26.18,-39.61,77.88
793,24.41,-40.53,80.26
794,22.22,-40.1,81.97
795,22.22,-39.49,83.31
796,24.23,-39.61,83.86
797,26.67,-42.18,82.52
798,30.15,-47.12,79.65
799,30.7,-51.27,76.84
800,28.38,-52.31,74.65
801,28.14,-51.09,72.94
802,29.24,-49.38,71.84
803,29.36,-48.34,70.43
804,25.15,-47.97,67.57
805,22.52,-49.56,63.6
806,21.91,-52.61,59.2
807,15.93,-55.24,55.24
808,4.7,-57.31,52.73
809,-0.43,-61.28,50.9
810,0.79,-64.45,49.26
811,-0.43,-64.76,49.01
812,-5.62,-62.56,52.49
813,-12.08,-58.35,58.59
814,-17.58,-53.71,66.41
815,-19.9,-50.35,74.83
816,-20.26,-46.57,80.57
817,-22.71,-42.18,81.3
818,-24.78,-39.49,77.7
819,-20.45,-41.08,70.86
820,-13.0,-44.19,62.68
821,-5.0,-47.49,54.02
822,1.53,-51.27,48.28
823,4.58,-53.04,47.42
824,1.1,-52.37,51.09
825,-9.95,-49.01,57.19
826,-20.02,-45.29,61.77
827,-27.77,-42.3,62.81
828,-27.47,-41.93,60.73
829,-22.22,-43.95,57.86
830,-17.4,-47.42,55.79
831,-12.94,-51.21,53.83
832,-8.12,-53.53,52.67
833,-4.46,-53.59,52.86
834,-5.0,-51.45,53.47
835,-7.57,-47.97,52.55
836,-7.14,-47.0,48.03
837,-5.98,-47.67,41.26
838,-9.09,-46.33,35.34
839,-14.16,-45.65,31.98
840,-17.27,-47.0,30.88
841,-18.74,-51.09,31.49
